gene_name	X1001	X1002	X1003
PROX1	-5.073578410354162	-4.960975537765825	-4.977168742236472
ELOVL1	-0.05543133900850146	-0.04427296875592985	-0.015640215018104225
PINK1	6.407993067253889	5.896781125642839	6.887855745984742
TAS1R3	0.8017242770250298	1.3055636739569076	1.6359065368019488
S100A5	-0.6280428614746413	-0.6215417154595401	-0.5918970364991681
TNNT2	1.3556643000556694	1.7643283803257803	1.1884076943341533
CSMD2	-8.931096643391635	-7.839587912001969	-8.27556055919406
DSTYK	-2.5531572921676666	-2.775087170386649	-1.9379579307832293
FAM163A	-2.5022801112401676	-3.0103206110877303	-2.8568047316704135
NTRK1	-2.0177340210549004	-2.0902590511488017	-2.053843877098782
INSRR	-5.898371484469051	-5.974938680968541	-5.905602004564856
NRD1	-1.5040323786727803	-1.5277432902702273	-1.561122960209713
MMACHC	-1.1035407543632798	-0.7830186380822969	-1.1931391844994645
CCDC163P	-0.12848716256328216	-0.25726791341308625	-0.12231422785229287
KIAA1324	-2.3025170391293277	-2.313661600737751	-2.0386348656260753
C1orf194	-0.6101758873556914	-0.6229258010778312	-0.7819828508672869
AK3L1	0.908282662675487	0.47464127899264097	0.6839269602178012
HECTD3	-1.6094613713712638	-1.5916204603405972	-1.5664376435960965
BARHL2	-3.498991773260039	-4.121154759289626	-2.3542639535221017
S100A13	0.28635572159692263	0.35788327848435303	0.17718558612247987
S100A1	-5.10808727021212	-3.5175948217633626	-5.276250248882197
EPHA10	-5.355965611668457	-5.137984540006953	-5.507429273756607
CACHD1	-4.932149933008661	-4.5908762517356925	-5.082094843885025
ESPN	-4.951267991920165	-5.084977195873168	-5.334019109673645
SLFNL1	1.1533708053144076	1.0549975359124482	1.1055156374532127
RER1	-4.382581299727993	-4.1977179401805405	-4.4367247827834
TTC13	-0.2240444214845903	-0.4506340037980986	-0.330150135957929
ARV1	-2.276061905380002	-2.1838623325517093	-2.219703978188903
PER3	-22.74311417471499	-21.54397269133314	-19.013026575636115
SPATA1	-1.2935708353143518	-1.1515207035251538	-1.1970796201272045
HIPK1	0.12214675834001373	0.20477825398265537	0.17288204457683365
PANK4	-3.2556762711582947	-3.080022145825431	-3.164485872264042
PADI3	1.5025234749164245	1.3185171871863097	1.5633695505417573
HPCA	0.11210418301286358	0.2955147627123273	0.10626897131564393
RNF207	-1.4053546584692038	-1.6424809009486652	-1.6138753804908383
PRDM16	-20.806562811379273	-23.257706984299414	-23.33053348769477
PRKAB2	-2.467244092552422	-2.4857655025755108	-2.442268771246711
RBM8A	-2.4110617708914766	-2.461971720822513	-2.453071322828551
MFAP2	2.4505139687985067	2.841264133456236	2.7790586960590846
MORN1	-3.006181922311483	-3.220389045374187	-3.0382807171325448
ATPIF1	-0.40235704893010027	-0.5413160648186922	-0.415768098811315
HEYL	-3.098136196866186	-3.189958302753155	-2.958614455897913
FDPS	1.0845574661577766	1.127573284206859	1.0213664496067774
ACTA1	-0.5376563283215358	-0.5132382208646522	0.0004783991695549843
RUNX3	2.9110376711588355	3.1190068865092844	3.0246395940578266
ARF1	-4.196126477356884	-3.9383949893321244	-4.04245864057657
HPCAL4	-0.9817939216627019	-1.220957108740502	-1.267112718539587
KIF26B	-25.281646545027602	-24.599282937559124	-24.44160131250568
NME7	-2.2992477654193406	-2.335338534747367	-2.4843294515219005
MYCL1	-2.039322360300295	-2.197154471975431	-1.7926632400618734
MXRA8	4.9679641663064364	4.612626665096986	4.3972770116837525
ARHGEF11	-7.098075941175387	-7.726318032466277	-6.971044502694716
TXNDC12	-3.239848249893112	-3.1251564000867282	-3.084522233525597
