gene_name	class_type	count	probes
PROX1	class1	6	{'cg10827893', 'cg14019317', 'cg23992410', 'cg25347098', 'cg23260547', 'cg17954152'}
PROX1	class2	20	{'cg18345456', 'cg16382030', 'cg26293546', 'cg17829746', 'cg03957440', 'cg22376805', 'cg22489498', 'cg01902845', 'cg22800590', 'cg04976324', 'cg13921308', 'cg12298905', 'cg25379954', 'cg06694137', 'cg00001364', 'cg24083324', 'cg03141679', 'cg00417025', 'cg23084895', 'cg22176895'}
ELOVL1	class1	6	{'cg18540614', 'cg16858125', 'cg06350161', 'cg01614716', 'cg23963351', 'cg13421385'}
ELOVL1	class2	11	{'cg08936794', 'cg00001446', 'cg22397520', 'cg09934326', 'cg24838029', 'cg03793131', 'cg20301722', 'cg08541862', 'cg25385412', 'cg15524063', 'cg24729481'}
PINK1	class1	5	{'cg17508639', 'cg14452549', 'cg24608458', 'cg20694964', 'cg17183232'}
PINK1	class2	15	{'cg20697630', 'cg21537245', 'cg25108841', 'cg00002028', 'cg10827226', 'cg23993660', 'cg20596348', 'cg14151682', 'cg05446994', 'cg24455365', 'cg27395190', 'cg21499909', 'cg25469870', 'cg17975245', 'cg12446953'}
TAS1R3	class1	5	{'cg16590012', 'cg21647460', 'cg16430279', 'cg20705390', 'cg04981007'}
TAS1R3	class2	18	{'cg08621441', 'cg06802641', 'cg10065209', 'cg21396988', 'cg14911892', 'cg00002593', 'cg07624812', 'cg24252805', 'cg08037114', 'cg07346648', 'cg11808871', 'cg06395167', 'cg13246026', 'cg16174225', 'cg18386618', 'cg04910752', 'cg03402404', 'cg26814650'}
S100A5	class1	5	{'cg21217846', 'cg00002646', 'cg08823182', 'cg19808620', 'cg26303281'}
S100A5	class2	7	{'cg08127462', 'cg07044523', 'cg17250929', 'cg10582450', 'cg09152105', 'cg09558069', 'cg16269775'}
TNNT2	class1	5	{'cg24249973', 'cg23594208', 'cg09274810', 'cg07596645', 'cg18692273'}
TNNT2	class2	7	{'cg18330203', 'cg02589576', 'cg04872399', 'cg19233001', 'cg12905654', 'cg24836748', 'cg00003287'}
CSMD2	class1	6	{'cg01445580', 'cg25025247', 'cg21197216', 'cg25772827', 'cg05382123', 'cg09270225'}
CSMD2	class2	75	{'cg06901094', 'cg08861449', 'cg09124230', 'cg11168006', 'cg04272632', 'cg11401957', 'cg07975793', 'cg21440084', 'cg20314038', 'cg23442151', 'cg24558425', 'cg05695604', 'cg24728456', 'cg17904797', 'cg26150071', 'cg24941457', 'cg26898039', 'cg15654121', 'cg02187889', 'cg24005949', 'cg03325403', 'ch.1.1103899F', 'cg10588150', 'cg03850711', 'cg00499831', 'cg02492778', 'cg18327772', 'cg16593910', 'cg15110800', 'cg22599122', 'cg10953723', 'cg24671229', 'cg00305071', 'cg00004257', 'cg25104186', 'cg17486066', 'cg05810883', 'cg09844805', 'cg27559224', 'cg00087420', 'cg23921342', 'cg14615152', 'cg24490542', 'cg19228118', 'cg03391055', 'cg15207669', 'cg27331316', 'cg06182923', 'cg23667391', 'cg00906838', 'cg11247812', 'cg19857361', 'cg21102477', 'cg00171942', 'cg18187148', 'cg21204965', 'cg21681396', 'cg24236085', 'cg21787078', 'cg05817517', 'cg05695384', 'cg08247053', 'cg16000683', 'cg24018609', 'cg00392677', 'cg06878729', 'cg08884588', 'cg05723953', 'cg20060394', 'cg19807706', 'cg01443433', 'cg02031245', 'cg13353015', 'cg04159098', 'cg09559021'}
DSTYK	class1	5	{'cg24713653', 'cg17889831', 'cg24159697', 'cg23362667', 'cg20414749'}
DSTYK	class2	15	{'cg24589113', 'cg15542880', 'cg26607933', 'cg13197680', 'cg11140044', 'cg05789608', 'cg22711218', 'cg12730826', 'cg00007898', 'cg00857998', 'cg05771997', 'cg06376129', 'cg00889227', 'cg03948781', 'cg06756667'}
FAM163A	class1	5	{'cg00008036', 'cg05421688', 'cg02634341', 'cg13059719', 'cg12720643'}
FAM163A	class2	28	{'cg00181968', 'cg09251600', 'cg24460126', 'cg13931250', 'cg02836963', 'cg08895981', 'cg21837826', 'cg13786023', 'cg04870174', 'cg15722905', 'cg13449778', 'cg05392737', 'cg10146186', 'cg00962913', 'cg11730719', 'cg20242752', 'cg20318608', 'cg21363811', 'cg09683824', 'cg19804605', 'cg25369168', 'cg06656994', 'cg14748380', 'cg16419354', 'cg03340466', 'cg26334801', 'cg18369629', 'cg27297088'}
NTRK1	class1	11	{'cg03055346', 'cg03438943', 'cg00577202', 'cg20673279', 'cg00626119', 'cg25630380', 'cg26428727', 'cg10981464', 'cg12995941', 'cg10811945', 'cg18534318'}
NTRK1	class2	40	{'cg19084362', 'cg24867618', 'cg11793699', 'cg16438688', 'cg18649438', 'cg24845595', 'cg09888330', 'cg24707200', 'cg26575633', 'cg00566642', 'cg26328483', 'cg20839149', 'cg04704219', 'cg24438909', 'cg11177059', 'cg07418114', 'cg00242627', 'cg27314669', 'cg08474334', 'cg04104526', 'cg01357370', 'cg04415780', 'cg25306584', 'cg00008446', 'cg03888033', 'cg25827666', 'cg26687119', 'cg01431830', 'cg03610604', 'cg13574390', 'cg03390245', 'cg02619408', 'cg09936845', 'cg12039611', 'cg09873405', 'cg19237923', 'cg12499211', 'cg08728702', 'cg02049180', 'cg01441387'}
INSRR	class1	6	{'cg03055346', 'cg03438943', 'cg18649438', 'cg12995941', 'cg20673279', 'cg18534318'}
INSRR	class2	23	{'cg19084362', 'cg11793699', 'cg16438688', 'cg24845595', 'cg00566642', 'cg26328483', 'cg04704219', 'cg24438909', 'cg00242627', 'cg27314669', 'cg08474334', 'cg04104526', 'cg01357370', 'cg04415780', 'cg25306584', 'cg00008446', 'cg03888033', 'cg26687119', 'cg13574390', 'cg03390245', 'cg02619408', 'cg08728702', 'cg02049180'}
NRD1	class1	5	{'cg05415378', 'cg02050181', 'cg20679573', 'cg21819024', 'cg03649284'}
NRD1	class2	22	{'cg07156238', 'cg06342283', 'cg06348851', 'cg08901888', 'cg12301169', 'cg05651393', 'cg15627300', 'cg19899065', 'cg01523285', 'cg25729041', 'cg00008823', 'cg21108691', 'cg06894469', 'cg10251347', 'cg19716542', 'cg20967006', 'cg10482750', 'cg26540302', 'cg22611633', 'cg21687300', 'cg13376096', 'cg24836107'}
MMACHC	class1	5	{'cg11803389', 'cg16521245', 'cg03123370', 'cg13848568', 'cg04700938'}
MMACHC	class2	12	{'cg06530443', 'cg14836864', 'cg22536808', 'cg10089626', 'cg15896098', 'cg27393325', 'cg03108114', 'cg00008971', 'cg13206126', 'cg04745201', 'cg09323228', 'cg00081251'}
CCDC163P	class1	6	{'cg14836864', 'cg22536808', 'cg15896098', 'cg27393325', 'cg03108114', 'cg00008971'}
CCDC163P	class2	9	{'cg11803389', 'cg16521245', 'cg09323228', 'cg03123370', 'cg11224062', 'cg13848568', 'cg04745201', 'cg04700938', 'cg00081251'}
KIAA1324	class1	8	{'cg13932362', 'cg26523099', 'cg26045220', 'cg19378640', 'cg08031955', 'cg23599104', 'cg13921387', 'cg15077558'}
KIAA1324	class2	13	{'cg27430662', 'cg08655800', 'cg09820792', 'cg03919114', 'cg23235832', 'cg16797831', 'cg01778864', 'cg21282282', 'cg04994773', 'cg06059849', 'cg00009167', 'cg17325318', 'cg04619882'}
C1orf194	class1	5	{'cg27430662', 'cg03919114', 'cg16797831', 'cg06059849', 'cg04994773'}
C1orf194	class2	11	{'cg09820792', 'cg13932362', 'cg26523099', 'cg26045220', 'cg08031955', 'cg19378640', 'cg23599104', 'cg07312312', 'cg13921387', 'cg15077558', 'cg00009167'}
